"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.308083336E-3,4.944049940E-2,4.036096483E-2,-2.676584758E-2
1.825108333E-2,5.017393455E-2,3.764533624E-2,-3.840465844E-2
2.819508334E-2,4.544049129E-2,1.464610640E-2,-4.956924915E-2
3.813808334E-2,3.260325640E-2,-6.794204004E-3,-5.020414665E-2
4.808208333E-2,1.627191342E-2,-2.536528930E-2,-4.997585714E-2
5.802508334E-2,3.236805089E-3,-3.152517974E-2,-4.190940782E-2
6.796908333E-2,8.355394006E-3,-3.632509336E-2,-3.217226267E-2
7.791208333E-2,2.003894933E-2,-2.617072873E-2,-3.027262911E-2
8.785608334E-2,2.520816401E-2,-1.408580504E-2,-3.331984580E-2
9.780008333E-2,3.045592271E-2,-1.738058170E-3,-3.926748410E-2
1.077430833E-1,3.395833075E-2,1.661471650E-2,-4.544984922E-2
1.176870833E-1,2.974627726E-2,3.430556133E-2,-5.503962934E-2
1.276300833E-1,1.466209441E-2,3.957891837E-2,-6.258973479E-2
1.375740833E-1,1.463468652E-3,4.379603639E-2,-6.996829063E-2
1.475170833E-1,-1.605909504E-2,4.355968162E-2,-7.402868569E-2
1.574610833E-1,-2.004238591E-2,4.666785523E-2,-7.313812524E-2
1.674040833E-1,-1.741355658E-2,4.864102602E-2,-6.792475283E-2
1.773480833E-1,-2.152068354E-2,4.345851392E-2,-5.820580944E-2
1.872920833E-1,-2.914881147E-2,2.974486537E-2,-3.050977550E-2
1.972350833E-1,-3.705440462E-2,1.479681022E-2,-4.016506672E-2
2.071790833E-1,-3.188975528E-2,5.560563877E-4,-4.867596924E-2
2.171220833E-1,-2.291836590E-2,-1.058181655E-2,-6.123969704E-2
2.270660833E-1,-1.054471731E-2,-7.483829744E-3,-6.498853862E-2
2.370090833E-1,-3.727557603E-3,1.317118644E-3,-5.993812531E-2
2.469530833E-1,-5.786992842E-4,1.532125287E-2,-5.942831188E-2
2.568960833E-1,-8.916206425E-4,2.536483109E-2,-5.411823839E-2
2.668400833E-1,-4.869850818E-3,3.621641546E-2,-5.566846579E-2
2.767840833E-1,-3.908183426E-3,3.855973110E-2,-5.447536707E-2
2.867270833E-1,6.874611136E-4,3.719642386E-2,-5.687614530E-2
2.966710833E-1,1.514230017E-2,3.263948858E-2,-5.643459037E-2
3.066140833E-1,2.471927181E-2,2.266644873E-2,-5.831768736E-2
3.165580833E-1,2.538958937E-2,1.044244622E-3,-6.094622985E-2
3.265010833E-1,1.400322095E-2,-2.940078080E-2,-5.964098498E-2
3.364450833E-1,-6.454382557E-3,-4.286066070E-2,-5.271010846E-2
3.463880833E-1,-1.387333218E-2,-5.105517060E-2,-4.592224956E-2
3.563320833E-1,-1.728404127E-2,-4.079534113E-2,-3.855594620E-2
3.662760833E-1,-1.480194274E-2,-1.592234522E-2,-3.636375442E-2
3.762190833E-1,-3.781250212E-3,1.078436617E-2,-3.020945564E-2
3.861630833E-1,7.030491251E-3,1.635492593E-2,-2.283977345E-2
3.961060833E-1,2.032499015E-2,-1.224129926E-2,-1.727962680E-2
4.060500833E-1,2.690004371E-2,-3.967332095E-2,-1.152627449E-2
4.159930833E-1,2.771550417E-2,-7.081951946E-2,-1.135902759E-2
4.259370833E-1,2.350415103E-2,-8.525954187E-2,-1.306143310E-2
4.358800833E-1,8.278326131E-3,-8.806039393E-2,-1.088296715E-2
4.458240833E-1,-9.923629463E-3,-7.169374079E-2,-1.086454093E-2
4.557680833E-1,-9.381676093E-3,-4.928749800E-2,-7.616283838E-3
4.657110833E-1,-1.646132558E-3,-2.921351790E-2,-5.000968929E-3
4.756550833E-1,1.361375209E-3,-1.749534532E-2,-8.689713664E-3
4.855980833E-1,1.439351030E-2,-8.899919689E-3,-6.252383813E-3
4.955420833E-1,2.109402418E-2,-5.871107336E-3,-1.297473535E-2
5.054850833E-1,2.333446592E-2,-1.141858101E-2,-1.752600446E-2
5.154290833E-1,2.013334632E-2,-6.245656870E-3,-2.487339824E-2
5.253730833E-1,4.925122950E-3,4.267739598E-3,-2.995313704E-2
5.353160833E-1,-1.392960432E-3,2.835523337E-2,-2.380123362E-2
5.452600833E-1,-2.177066915E-2,3.490075096E-2,-6.233159918E-3
5.552030833E-1,-4.555270076E-2,2.533281222E-2,1.844049431E-2
5.651470833E-1,-7.126767188E-2,1.120337471E-2,4.307661951E-2
5.750900833E-1,-7.921028882E-2,8.880564943E-3,5.756954104E-2
5.850340833E-1,-7.011059672E-2,-3.266747808E-3,6.771147251E-2
5.949780833E-1,-6.187930331E-2,-2.976307087E-2,7.513104379E-2
6.049210833E-1,-7.613067329E-2,-6.333790720E-2,9.566836804E-2
6.148650833E-1,-1.373666078E-1,-1.149230674E-1,1.351675838E-1
6.248080833E-1,-2.342117429E-1,-1.797499210E-1,1.765839905E-1
6.347520833E-1,-3.083701432E-1,-2.306365371E-1,2.109963000E-1
6.446950833E-1,-3.274142146E-1,-2.337094098E-1,2.206556499E-1
6.546390833E-1,-2.763100266E-1,-1.985825896E-1,1.973990649E-1
6.645820833E-1,-1.922750771E-1,-1.441036910E-1,1.541797370E-1
6.745260833E-1,-1.200453565E-1,-1.080021486E-1,1.235978603E-1
6.844700833E-1,-8.704072982E-2,-8.673829585E-2,1.240497157E-1
6.944130833E-1,-9.682225436E-2,-6.703516841E-2,1.466634274E-1
7.043570833E-1,-1.146771610E-1,-3.790145367E-2,1.749538481E-1
7.143000833E-1,-1.195286438E-1,2.424873970E-2,1.683526635E-1
7.242440833E-1,-1.218330488E-1,9.322102368E-2,1.612160802E-1
7.341870833E-1,-1.191288754E-1,1.424210519E-1,1.660933942E-1
7.441310833E-1,-1.216921285E-1,1.535787731E-1,1.809925884E-1
7.540750833E-1,-1.211499125E-1,1.376890242E-1,2.232878506E-1
7.640180833E-1,-1.107589230E-1,9.375314415E-2,2.406740636E-1
7.739620833E-1,-8.864589781E-2,3.847230971E-2,2.656627893E-1
7.839050833E-1,-6.819896400E-2,-1.283022575E-2,2.624820769E-1
7.938490833E-1,-4.794855788E-2,-1.386166830E-2,2.713456154E-1
8.037920833E-1,-2.759763226E-2,2.140132338E-2,2.739118338E-1
8.137360833E-1,-1.946460456E-2,6.933023036E-2,2.943686545E-1
8.236790833E-1,-1.031718869E-2,9.028627723E-2,3.176399767E-1
8.336230833E-1,-8.813425666E-4,1.184095293E-1,3.351180255E-1
8.435670833E-1,-5.885440623E-4,1.630645990E-1,3.357063830E-1
8.535099167E-1,6.526623387E-3,2.287429571E-1,3.264609575E-1
8.634539167E-1,2.163378708E-2,2.934813499E-1,3.158310056E-1
8.733969167E-1,2.370279655E-2,3.262395561E-1,3.125896752E-1
8.833409167E-1,2.750690654E-2,3.251991272E-1,3.079429269E-1
8.932839167E-1,2.182159014E-2,3.102425337E-1,3.050712347E-1
9.032279167E-1,4.590201192E-3,2.695826590E-1,2.955223322E-1
9.131719167E-1,-2.857787162E-2,2.050545216E-1,2.874721289E-1
9.231149167E-1,-5.882369354E-2,1.244351715E-1,2.602773905E-1
9.330589167E-1,-6.761559099E-2,5.066800490E-2,2.556714714E-1
9.430019167E-1,-8.020972461E-2,-1.081806701E-2,2.062397599E-1
9.529459167E-1,-7.718650997E-2,-4.354991391E-2,1.795711368E-1
9.628889167E-1,-7.869036496E-2,-5.801047385E-2,1.420886219E-1
9.728329167E-1,-7.501813024E-2,-3.273307905E-2,1.107333601E-1
9.827769167E-1,-8.427457511E-2,3.041591495E-2,8.693784475E-2
9.927199167E-1,-9.977177531E-2,1.085144430E-1,6.678916514E-2
1.002663917E0,-1.030412242E-1,1.869877726E-1,5.436629057E-2
1.012606917E0,-9.730930626E-2,2.385159433E-1,4.033542797E-2
1.022550917E0,-9.775383025E-2,2.524409890E-1,2.554561198E-2
1.032493917E0,-1.022668257E-1,2.399465144E-1,-9.667767212E-3
1.042437917E0,-8.386542648E-2,2.226883620E-1,-4.676632956E-2
1.052381917E0,-7.258640975E-2,1.823135167E-1,-8.203643560E-2
1.062324917E0,-6.682557613E-2,1.324374378E-1,-8.537314832E-2
1.072268917E0,-3.827115893E-2,1.084932163E-1,-3.805703297E-2
1.082211917E0,-7.771117613E-3,1.046092436E-1,3.494843841E-2
1.092155917E0,8.140204474E-3,1.590077728E-1,9.529300034E-2
1.102098917E0,4.561525583E-2,2.285125852E-1,1.442841291E-1
1.112042917E0,8.585801721E-2,2.182695419E-1,1.774743050E-1
1.121985917E0,9.631393105E-2,1.455187500E-1,2.085234970E-1
1.131929917E0,9.841116518E-2,8.660722524E-2,2.455046922E-1
1.141873917E0,9.285980463E-2,5.257841572E-2,2.631236315E-1
1.151816917E0,8.919130266E-2,2.919213474E-2,2.824549973E-1
1.161760917E0,8.095623553E-2,3.848100081E-2,2.919770777E-1
1.171703917E0,7.154861838E-2,4.567180201E-2,3.207620978E-1
1.181647917E0,6.313329190E-2,3.128833696E-2,3.462533653E-1
1.191591917E0,4.336171970E-2,2.806777507E-2,3.722663224E-1
1.201534917E0,-3.125360934E-3,1.618973725E-2,3.896114230E-1
1.211478917E0,-1.483208407E-2,-2.176190540E-2,4.185613096E-1
1.221421917E0,3.688343568E-4,-4.929803312E-2,4.591087699E-1
1.231365917E0,-2.749235742E-2,4.839240573E-3,4.924851060E-1
1.241308917E0,-3.273695707E-2,9.388881177E-2,5.128840208E-1
1.251252917E0,-3.303655982E-2,1.218890175E-1,5.200420618E-1
1.261196917E0,-4.499781877E-2,1.211426407E-1,5.282081962E-1
1.271139917E0,-5.646752194E-2,1.196307614E-1,5.298058391E-1
1.281083917E0,-6.616511196E-2,1.144235432E-1,5.199915767E-1
1.291026917E0,-6.818538159E-2,9.711939096E-2,5.084816813E-1
1.300970917E0,-6.502128392E-2,9.859771281E-2,4.963717461E-1
1.310913917E0,-6.212642789E-2,1.232684329E-1,4.973877072E-1
1.320857917E0,-7.886153460E-2,1.195496768E-1,4.917233288E-1
1.330801917E0,-8.615113795E-2,9.977091104E-2,4.848643541E-1
1.340744917E0,-1.020007581E-1,8.756782860E-2,4.917871952E-1
1.350688917E0,-1.348023862E-1,7.361365855E-2,5.166533589E-1
1.360631917E0,-1.387448311E-1,7.158464938E-2,5.511503816E-1
1.370575917E0,-1.265709847E-1,1.177247167E-1,5.803253055E-1
1.380518917E0,-1.306405365E-1,1.807192713E-1,6.114460230E-1
1.390462917E0,-1.285715252E-1,2.126343250E-1,6.236582398E-1
1.400406917E0,-1.076134369E-1,2.514904737E-1,6.209148765E-1
1.410349917E0,-5.487140268E-2,2.637407184E-1,6.178945899E-1
1.420293917E0,-4.622267559E-3,2.629117966E-1,6.198148131E-1
1.430236917E0,3.247237206E-2,1.954302192E-1,6.254955530E-1
1.440180917E0,5.059193820E-2,1.373154670E-1,6.255570054E-1
1.450123917E0,5.237998441E-2,8.262958378E-2,6.190133691E-1
1.460067917E0,5.095120147E-2,2.186697349E-2,6.166881919E-1
1.470011917E0,4.909924045E-2,-3.245591745E-2,6.075245142E-1
1.479954917E0,3.580104187E-2,-7.537971437E-2,5.886263847E-1
1.489898917E0,2.383013442E-2,-9.478083998E-2,5.755438805E-1
1.499841917E0,1.400443353E-2,-9.559279680E-2,5.482177138E-1
1.509785917E0,2.241443098E-2,-9.887833893E-2,5.174413919E-1
1.519728917E0,4.564872757E-2,-1.049769670E-1,4.794180095E-1
1.529672917E0,5.307655036E-2,-1.419970393E-1,4.550359845E-1
1.539616917E0,3.372591734E-2,-1.941147894E-1,4.656748176E-1
1.549559917E0,2.467836067E-2,-2.068201900E-1,4.840772748E-1
1.559503917E0,-1.561552519E-3,-1.920763850E-1,5.134444833E-1
1.569446917E0,-3.517623618E-2,-1.743660867E-1,5.489041805E-1
1.579390917E0,-4.149369150E-2,-1.281478703E-1,5.711777806E-1
1.589334917E0,-4.361329973E-2,-9.798970819E-2,5.793119073E-1
1.599277917E0,-2.036616392E-2,-1.061071903E-1,5.811926126E-1
1.609221917E0,1.913543977E-2,-1.135030538E-1,5.695718527E-1
1.619164917E0,3.850980848E-2,-1.355151236E-1,5.568008423E-1
1.629108917E0,6.167877838E-2,-1.458748281E-1,5.459428430E-1
