"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.336083333E-3,-8.544830933E0,-4.610711975E0,-2.469863892E-2
1.327908334E-2,-8.665779419E0,-4.658762054E0,8.861572266E-2
2.322308334E-2,-8.782686310E0,-4.639152832E0,1.375639343E-1
3.316608333E-2,-8.874146118E0,-4.582121429E0,1.716929626E-1
4.311008334E-2,-8.954528961E0,-4.486919403E0,1.913021851E-1
5.305408334E-2,-9.031019897E0,-4.402794342E0,1.478924561E-1
6.299708333E-2,-9.021739197E0,-4.364024963E0,1.178050232E-1
7.294108334E-2,-8.915909271E0,-4.394262085E0,6.765930176E-2
8.288408333E-2,-8.765023041E0,-4.511318665E0,-8.831634521E-3
9.282808333E-2,-8.588689728E0,-4.596042480E0,-3.367996216E-2
1.027710833E-1,-8.419541473E0,-4.632416840E0,-1.676513672E-2
1.127150833E-1,-8.277786255E0,-4.636757812E0,1.347198486E-3
1.226580833E-1,-8.216264191E0,-4.575385437E0,3.712280273E-2
1.326020833E-1,-8.307723999E0,-4.518054657E0,8.217910767E-2
1.425460833E-1,-8.560697937E0,-4.475842438E0,1.133143616E-1
1.524890833E-1,-8.873547363E0,-4.454586639E0,8.622070312E-2
1.624330833E-1,-9.047934723E0,-4.441863098E0,-6.586303711E-3
1.723760833E-1,-9.020691376E0,-4.414020996E0,-3.742218018E-2
1.823200833E-1,-8.925489349E0,-4.396058350E0,-4.939727783E-2
1.922630833E-1,-8.969198456E0,-4.360282745E0,-9.131011963E-3
2.022070833E-1,-8.650810547E0,-4.492008820E0,1.031355286E-1
2.121500833E-1,-8.610244904E0,-4.586312714E0,1.100212097E-1
2.220940833E-1,-8.615184631E0,-4.698728943E0,8.083190918E-3
2.320380833E-1,-8.668922882E0,-4.775818634E0,-1.477427673E-1
2.419810833E-1,-8.649762726E0,-4.748425598E0,-2.224374390E-1
2.519250833E-1,-8.594078522E0,-4.705165558E0,-2.375559998E-1
2.618680833E-1,-8.541837158E0,-4.645589447E0,-2.151026917E-1
2.718120833E-1,-8.527916107E0,-4.622238007E0,-1.215472412E-1
2.817550833E-1,-8.577163696E0,-4.642296295E0,-3.802093506E-2
2.916990833E-1,-8.674760742E0,-4.679119720E0,9.580078125E-3
3.016420833E-1,-8.756490784E0,-4.677173767E0,-2.200424194E-2
3.115860833E-1,-8.799002380E0,-4.643344116E0,-1.284329224E-1
3.215300833E-1,-8.815019073E0,-4.590204620E0,-2.290237427E-1
3.314730833E-1,-8.925189972E0,-4.488565979E0,-3.393443298E-1
3.414170833E-1,-9.056466980E0,-4.380640411E0,-4.314028931E-1
3.513600833E-1,-9.014554138E0,-4.430935822E0,-3.909869385E-1
3.613040833E-1,-8.839418335E0,-4.582869873E0,-2.764750671E-1
3.712470833E-1,-8.697513428E0,-4.687352600E0,-2.112107849E-1
3.811910833E-1,-8.590186615E0,-4.701872406E0,-1.438508606E-1
3.911350833E-1,-8.474626923E0,-4.649181976E0,-5.777984619E-2
4.010780833E-1,-8.400231628E0,-4.548441467E0,-4.041595459E-2
4.110220833E-1,-8.413853302E0,-4.474944305E0,-6.840774536E-2
4.209650833E-1,-8.522527313E0,-4.497547302E0,-9.894424438E-2
4.309090833E-1,-8.712033234E0,-4.549788666E0,-1.199006653E-1
4.408520833E-1,-8.937165070E0,-4.530029755E0,-1.505868530E-1
4.507960833E-1,-9.038654022E0,-4.477788391E0,-1.410067749E-1
4.607390833E-1,-8.898695068E0,-4.436324615E0,-3.817062378E-2
4.706830833E-1,-8.678652649E0,-4.453389130E0,1.184037781E-1
4.806270833E-1,-8.509205017E0,-4.441264343E0,2.484832764E-1
4.905700833E-1,-8.397686920E0,-4.385280762E0,3.257226562E-1
5.005140833E-1,-8.342601471E0,-4.361629944E0,3.516188049E-1
5.104570833E-1,-8.339008942E0,-4.373155975E0,3.004252625E-1
5.204010833E-1,-8.415499878E0,-4.392465820E0,1.258882141E-1
5.303440833E-1,-8.510851593E0,-4.385131073E0,-9.026229858E-2
5.402880833E-1,-8.587043152E0,-4.338278503E0,-2.106120300E-1
5.502310833E-1,-8.638536072E0,-4.282743988E0,-2.065704346E-1
5.601750833E-1,-8.657247162E0,-4.268822937E0,-1.784289551E-1
5.701190833E-1,-8.655301208E0,-4.332141266E0,-1.778302002E-1
5.800620833E-1,-8.653954010E0,-4.405039673E0,-1.480421448E-1
5.900060833E-1,-8.709787903E0,-4.459226990E0,-9.879455566E-2
5.999490833E-1,-8.877289581E0,-4.500092010E0,-1.505868530E-1
6.098930833E-1,-9.077573090E0,-4.430636444E0,-3.365002441E-1
6.198360833E-1,-9.212891693E0,-4.228257294E0,-4.043092346E-1
6.297800833E-1,-9.269474030E0,-3.989354095E0,-3.415896606E-1
6.397240833E-1,-9.170380096E0,-3.814068604E0,-1.892065430E-1
6.496670833E-1,-8.951385498E0,-3.783981171E0,7.065307617E-2
